"","name","party"
"685","Malcolm Oliver","Democratic Party"
"686","Manuel Luis Higareda","Federalist Party"
"687","Marc Stengel","Republican Party"
"688","Marcus Meikle","Other"
"689","Marcus Olivio-McLlellon","Democratic-Farmer Labor Party"
"690","Marcus Sykes","Other"
"691","Maria Harper Davis","Democratic Party"
"692","Marianne Williamson","Democratic Party"
"693","Mario Jaramillo","Independent"
"694","Mari Tamburo","Democratic Party"
"695","Mark Allan Pierce","Democratic Party"
"696","Mark Allen Weber","Democratic Party"
"697","Mark Blair Graham","Nonpartisan"
"698","Mark Charles","Independent"
"699","Mark-Christian Anthony Aubin","Republican Party"
"700","Mark Douglas Spivey","Libertarian Party"
"701","Mark Elworth Jr.","Other"
"702","Markie Kenneth Garner","Independent"
"703","Mark L. Bauer","Independent"
"704","Mark London Dunham II","Democratic Party"
"705","Mark Sanford","Republican Party"
"706","Mark Shay","Independent"
"707","Mark Stewart Greenstein","Democratic Party"
"708","Marquis Antwan Garner","Democratic Party"
"709","Martina Armstead","Democratic Party"
"710","Martin Dudziak","Nonpartisan"
"711","Marty Piatt","Republican Party"
"712","Marvin D. Jones","Democratic Party"
"713","Marvin Gerald Vandam","Independent"
"714","Mary Clement","Democratic Party"
"715","Mary June Rincon","Independent"
"716","Mathew H. Green","Independent"
"717","Mathew Lee Tyler","Independent"
"718","Matthew Buker","Veterans Party of America Party"
"719","Matthew D. Pinnavaia","Nonpartisan"
"720","Matthew Embry Bradshaw","Independent"
"721","Matthew James McGurn","Nonpartisan"
"722","Matthew M. Abraugh","Nonpartisan"
"723","Matthew Matern","Republican Party"
"724","Matthew Thomas Beggarly","Democratic Party"
"725","Matthew Weed","American Independent Party"
"726","M.A. Warren","Independent"
"727","Max Abramson","Veterans Party of America Party"
"728","Maximo Alvarez Castaneda","Independent"
"729","Max Stravagar","Democratic Party"
"730","Mehal Rockefeller","Republican Party"
"731","Melinda Pillsbury-Foster","Other"
"732","Melvin Francis Eberly","Republican Party"
"733","Melvin Valentine Jr.","Nonpartisan"
"734","Melvin Wayne Clark","Democratic Party"
"735","Meredithe Floyd Pennington Jr.","Independent"
"736","Merrill Edward Cook Jr.","Unaffiliated"
"737","Michael Aguiar","Democratic Party"
"738","Michael Andrew Counsell-Short","Independent"
"739","Michael Anfang","Unaffiliated"
"740","Michaela Shapero","Republican Party"
"741","Michael Bagby","Republican Party"
"742","Michael Bennet","Democratic Party"
"743","Michael Bickelmeyer","Republican Party"
"744","Michael Bloomberg","Democratic Party"
"745","Michael Dean Bowers","People's Party"
"746","Michael E. Arth","Democratic Party"
"747","Michael Ellinger","Democratic Party"
"748","Michael Fahl","Other"
"749","Michael Foster","Democratic Party"
"750","Michael James Ott","Independent"
"751","Michael Joseph Dixon","Nonpartisan"
"752","Michael Katz","Democratic Party"
"753","Michael Lamont Hambrick Sr.","Independent"
"754","Michael Landingham","Democratic Party"
"755","Michael L. Hallman","Nonpartisan"
"756","Michael Maldonado","Nonpartisan"
"757","Michael McKinley","Democratic Party"
"758","Michael Noonan","Democratic Party"
"759","Michael Ohleger Jr.","Nonpartisan"
"760","Michael Puskar","Republican Party"
"761","Michael Riden","Nonpartisan"
"762","Michael Scollan","Nonpartisan"
"763","Michael T. Captain","Nonpartisan"
"764","Michael Wayne Palmer","Democratic Party"
"765","Michael W. Barbine","Nonpartisan"
"766","Michael Woodyer","Independent"
"767","Michael W. Scruggs","Democratic Party"
"768","Michelle R. Hale Hudson","Republican Party"
"769","Michelle Storm","Independent"
"770","Michelle Walker","Independent"
"771","Micky K. Hull","Unaffiliated"
"772","Mike Gravel","Democratic Party"
"773","M. Latroy Alexandria-Williams","Democratic Party"
"774","Mohammad Kabir","Nonpartisan"
"775","Morris Thompson","Unaffiliated"
"776","Mosemarie Boyd","Democratic Party"
"777","Mosheh Edward Thezion","Democratic Party"
"778","Muhammad Farooq","Democratic Party"
"779","Nadia Bahia Smalley","Democratic Party"
"780","Nadia B. Smalley","Democratic Party"
"781","Najah Karima Gabriel","Democratic Party"
"782","Nakia Lacquers Anthony","Democratic Party"
"783","Nancy Elizabeth Rodriguez","Liberal Party"
"784","Napoleon Madrid","Independent"
"785","Nathan D. Scholten","Independent"
"786","Nathan Graham","Nonpartisan"
"787","Nathaniel Glasgow","Republican Party"
"788","Nathaniel Nelson","Independent"
"789","Nathan Kelly","Republican Party"
"790","Nazzarae Collins","Democratic Party"
"791","Neil Gillespie","Nonpartisan"
"792","Neil Kiernan Stephenson","Green Party"
"793","Nelson Feliciano","Nonpartisan"
"794","Nevin Kamath","Nonpartisan"
"795","Nicholas Biller","Independent"
"796","Nicholas Cramer","Nonpartisan"
"797","Nicholas Evans","Republican Party"
"798","Nicholas Roesler","Independent"
"799","Nicholas Ryan Ocampo","Democratic Party"
"800","Nicholas Sunderbruch","Communist Party"
"801","Nicholas Ximenez","Other"
"802","Niles Ayer","Democratic Party"
"803","Nirvana Jet Dillingham","Unaffiliated"
"804","Nita Mildred Rice","Democratic Party"
"805","Noah Bunyan","Democratic Party"
"806","Nyle Benjamin Layton","Libertarian Party"
"807","Oatice Thomas","Republican Party"
"808","Oren Clark","Nonpartisan"
"809","Oscar Hilliker","Independence Party"
"810","Pamela Danelle Rocker","Democratic Party"
"811","Pamela M. Pinkney Butts","Nonpartisan"
"812","Patricia Chandler","Republican Party"
"813","Patricia Grant","Independent"
"814","Patricia Nicklaus","Republican Party"
"815","Patrick Allen Cope","Republican Party"
"816","Patrick Anthony Drake","Nonpartisan"
"817","Patrick H. Jo","Democratic Party"
"818","Patrick Little","Republican Party"
"819","Patrick McCarthy","Democratic Party"
"820","Patrick Michael Michaud","Nonpartisan"
"821","Patrick Michael White","Independent"
"822","Patrick Robert Miller","Independent"
"823","Paul Augustine Carluccio","Democratic Party"
"824","Paul Donald Cauitt","Independent"
"825","Paul George Preste","Republican Party"
"826","Paul Hale","Independent"
"827","Paul Kangas","Democratic Party"
"828","Paul Louis Sylvester","Nonpartisan"
"829","Paul Matthew King Brough","Independent"
"830","Paul O'Neill","Nonpartisan"
"831","Paul Shelly","Independent"
"832","Paul Welch","Democratic Party"
"833","Paul Willmon","Nonpartisan"
"834","Pete Buttigieg","Democratic Party"
"835","Peter Anthony Hovis","Independent"
"836","Peter Hamill","Nonpartisan"
"837","Peter Sherrill","Republican Party"
"838","Peyton Faucett","Independent"
"839","Phil Collins","Prohibition Party"
"840","Phil Gray","Libertarian Party"
"841","Philip Frazee","Nonpartisan"
"842","Philip Henke","Democratic Party"
"843","Phillip Karl Speat","Independent"
"844","Phillip Seales","Democratic-Farmer Labor Party"
"845","Precious Badran","Democratic Party"
"846","President Boddie","Democratic Party"
"847","President Caesar","Democratic Party"
"848","Princess Khadijah M. Pres Jacob-Fambro","Independent"
"849","Rachel Candy Wyatt","Independence Party"
"850","Rachel Davis","Constitution Party"
"851","Rachel Osterbach","Nonpartisan"
"852","Radomir Vojtech Luza","Democratic Party"
"853","Raeford Gamelle Smith Sr.","Independent"
"854","Ramie Chavez","Republican Party"
"855","Ramona Elizabeth Mayon","Nonpartisan"
"856","Ramon Perez","Independence Party"
"857","Randall Nalls","Democratic Party"
"858","Raoul A. Estrada","Nonpartisan"
"859","Rasharnda S. Teixeira","Nonpartisan"
"860","Ray Madrigal De Pancho Villa","Democratic Party"
"861","Raymond Gonzalez","Nonpartisan"
"862","Raymond Haigood","Independent"
"863","Raymond J. Seney","Democratic Party"
"864","Raynette Kennedy Weiss","Democratic Party"
"865","Razan Ammari","Independent"
"866","R. Dennis Moore","Democratic Party"
"867","Rhett Rosenquest Smith","Libertarian Party"
"868","Rhett Wilkinson Meier","Democratic Party"
"869","Richard Charles Moncada","Independent"
"870","Richard D. Cooper","Democratic Party"
"871","Richard Dustin Kelser","Nonpartisan"
"872","Richard Hampton Hendry","Nonpartisan"
"873","Richard Hobbs","Republican Party"
"874","Richard Lyons Weil","Democratic Party"
"875","Richard Ojeda","Democratic Party"
"876","Richard Pennington","Unaffiliated"
"877","Rickey Morris","Libertarian Party"
"878","Ricky Dale Woolard","Independent"
"879","Rico Cortez Dukes","American Independent Party"
"880","Rita Krichevsky","Democratic Party"
"881","Robert Ardini","Republican Party"
"882","Robert Bradford Lee Acord","Democratic Party"
"883","Robert Carr Wells Jr.","Democratic Party"
"884","Robert Eugene Pich","Nonpartisan"
"885","Robert Eugene Smith","Republican Party"
"886","Robert Humphrey","Independent"
"887","Robert Ion Moldafsky","Democratic Party"
"888","Robert James Thomas","Independent"
"889","Robert Jordan","Democratic Party"
"890","Robert Joseph","Democratic Party"
"891","Robert Kamerer","Independent"
"892","Robert L. Jackson","Democratic Party"
"893","Robert Manning","Independent"
"894","Robert Moser","Nonpartisan"
"895","Robert Simon Shaw IV","Democratic Party"
"896","Robert Stand","Nonpartisan"
"897","Robert Tolbert","Democratic Party"
"898","Robert Washington Cooper Jr.","Independent"
"899","Robert William Sandera","Democratic Party"
"900","Robin Dern","Democratic Party"
"901","Robin Plante","Nonpartisan"
"902","Rodger Lee Roose","Democratic Party"
"903","Roger Chaney Jr.","Democratic Party"
"904","Roger Stephen Du Pont","Independent"
"905","Roland Aranjo","Green Party"
"906","Rome Vibe","Independent"
"907","Ronald Bush","Democratic Party"
"908","Ronald Muwereza Lutalo Sr.","Republican Party"
"909","Ronald Satish Emrit","Democratic Party"
"910","Roque De La Fuente","Republican Party"
"911","Roque De La Fuente III","Democratic Party"
"912","Rosalind Francina Greene","Democratic Party"
"913","Rose Kincade","Nonpartisan"
"914","Roshir Westen","Nonpartisan"
"915","Roy Snyder","Independent"
"916","Ruben Valles Jr.","Independent"
"917","Rudy Edward Gomez","Democratic Party"
"918","Rugar Mims","Independent"
"919","Ryan Acker","Nonpartisan"
"920","Ryan Andrew Farber","Democratic Party"
"921","Ryan Hunter Yollin","Democratic Party"
"922","Ryan Jackson","Libertarian Party"
"923","Ryan McDougal","Nonpartisan"
"924","Ryan Nicholas Von Bevern","Democratic Party"
"925","Ryan Nyberg","Nonpartisan"
"926","Ryan Stephen Ehrenreich","Democratic Party"
"927","Salvador Quiroz","Nonpartisan"
"928","Sammi Saar","Republican Party"
"929","Sammy Garret","Independent"
"930","Sam Sloan","Democratic Party"
"931","Samuel B. Hoff","Independent"
"932","Samuel Carswell","Alaskan Independence Party"
"933","Samuel Cassiba","Democratic Party"
"934","Samuel D'Amico","Reform Party"
"935","Samuel Girdich","Independent"
"936","Samuel Joseph Robb","Libertarian Party"
"937","Samuel Lyndell Powell","Independent"
"938","Sanderson Beck","Democratic Party"
"939","Sandra Queen Noble","Nonpartisan"
"940","Sarah Angelo-Haight","Independent"
"941","Saul Williams III","Democratic Party"
"942","Scooter York","Socialist Workers Party"
"943","Scott Bradford","Independent"
"944","Scott Eldon Fulk","Independent"
"945","Scott McCatty","Nonpartisan"
"946","Scott Wayne Klinkhammer","Independent"
"947","Sean Collinson","Independent"
"948","Sebastian Austin Stewart","Republican Party"
"949","Sedinam Moyowasifza-Curry","Green Party"
"950","Sem Yoram Van Der Vegte","Republican Party"
"951","Sesbastian Cosme","American Independent Conservative Party"
"952","Seth Moulton","Democratic Party"
"953","Sexy Vegan","Independent"
"954","Seymour Art Lee","Libertarian Party"
"955","Shane Meehan","Democratic Party"
"956","Shannon Hazzard","Democratic Party"
"957","Sharmin Lynn Smith","Democratic Party"
"958","Shaun McCutcheon","Libertarian Party"
"959","Shawn Bachar","Independence Party"
"960","Shawn Chrystal","Veterans Party of America Party"
"961","Shawn Cross","Unaffiliated"
"962","Shawn Erin Duggins","Unaffiliated"
"963","Shawn Jones","Nonpartisan"
"964","Shawn Rundblade","Democratic Party"
"965","Shawn W. Howard","Independent"
"966","Shay Zago","Independent"
"967","Sheila Tittle","Constitution Party"
"968","Sherry Mallory","Democratic Party"
"969","Simon Edmonds","Democratic Party"
"970","Simon Medek","Nonpartisan"
"971","Sky Boles","Independent"
"972","Soniacarmen Arcelay","Nonpartisan"
"973","Sonia Ingram","Republican Party"
"974","Sorinne Ardeleanu","Libertarian Party"
"975","Souraya Faas","Libertarian Party"
"976","Spencer Eric Snyder","Republican Party"
"977","Stefan Karl Stefansson","Democratic Party"
"978","Stephan Blake Ashby","Libertarian Party"
"979","Stephanie Simon St. Louis","Democratic Party"
"980","Stephen Bradley Comley Sr.","Republican Party"
"981","Stephen Lyne","Independent"
"982","Stephen Lyons Sr.","Republican Party"
"983","Stephen Michael Patterson","Democratic Party"
"984","Stephen Schrader","Libertarian Party"
"985","Stetson Hardwick","Democratic Party"
"986","Steve Bullock","Democratic Party"
"987","Steven Allen Richey","Libertarian Party"
"988","Steven Douglas Sharp","Republican Party"
"989","Steven Floyd Long","Republican Party"
"990","Steven Jay Young","Nonpartisan"
"991","Steven Jon Jolly","Independent"
"992","Steven Segura","Nonpartisan"
"993","Stuart Lee Kiehl","Democratic Party"
"994","Susan Buchser","Green Party"
"995","Susanne Atanus","Democratic Party"
"996","Susan Resch","Democratic Party"
"997","Sydia Kostreba","American Independent Party"
"998","Talalupe Fonzie Vavao","Democratic Party"
"999","Tambra Richardson","Independence Party"
"1000","Taylor Cleveland","Independent American Party"
"1001","Taylor Roberts","Unaffiliated"
"1002","Temperance Lance-Council","Nonpartisan"
"1003","Terence Roger James","Democratic Party"
"1004","Teresa Burchell","Republican Party"
"1005","Terrance James Harvey","Republican Party"
"1006","Terry Roger Beardsley II","Independence Party"
"1007","Terry Wayne Wheelock","Independent"
"1008","Terry Wilkerson","Libertarian Party"
"1009","Theodore Millard Crisell","Democratic Party"
"1010","Thomas Bassett","Nonpartisan"
"1011","Thomas Bradford","Republican Party"
"1012","Thomas Francis Winterbottom","Democratic Party"
"1013","Thomas Jones","Independent"
"1014","Thomas Jon Shackett","Unaffiliated"
"1015","Thomas Joseph Boyle","Democratic Party"
"1016","Thomas McCartney","Nonpartisan"
"1017","Thomas Salzillo James","Independent"
"1018","Thomas Williams","Nonpartisan"
"1019","Timmy Strickland","Independent"
"1020","Timothy Charles Kalemkarian","Republican Party"
"1021","Timothy D. Breeden","Nonpartisan"
"1022","Timothy Matthew Colopy","Independent"
"1023","Timothy Michael Villari","Republican Party"
"1024","Timothy Simmons Dimsdale","Independent Conservative Democratic Party"
"1025","Tim Ryan","Democratic Party"
"1026","Tina Jayne Hahn","Independent"
"1027","Tina Marie Guest","Nonpartisan"
"1028","Tirell Alexander Maxwell Clifton","Democratic Party"
"1029","Todd Michael","Republican Party"
"1030","Tom Kawczynski","Republican Party"
"1031","Tom Steyer","Democratic Party"
"1032","Tony Maggiore","Independent"
"1033","Travis Lee Stevenson","Republican Party"
"1034","Travis McKee","Republican Party"
"1035","Trevor Koob","Republican Party"
"1036","Troy Voss","Independent"
"1037","Tulsi Gabbard","Democratic Party"
"1038","Tyler Barna","Democratic Party"
"1039","Tyrell J. Heaton","Democratic Party"
"1040","Tyrone Moody Jr.","Democratic Party"
"1041","Valerie Lin McCray","Independent"
"1042","Vanessa McGee-Smith Kearney","Independent"
"1043","Vector Path Hasting","Democratic Party"
"1044","Vermin Supreme","Libertarian Party"
"1045","Vern Hahn","Independent"
"1046","Veronica Ronnie Fuller","Independent"
"1047","Verquetta Tillman","Liberal Party"
"1048","Victor Carter","Independent"
"1049","Vlad Len","Democratic-Farmer Labor Party"
"1050","Walter Iwachiw","Republican Party"
"1051","Walter Randall Bannister","Republican Party"
"1052","Wanda Diggs","Nonpartisan"
"1053","Wanda Gayle Duckwald","Republican Party"
"1054","Wanda Odom","Republican Party"
"1055","Warren Lee","Democratic Party"
"1056","Warren Lee Weisman","Nonpartisan"
"1057","Wayne Messam","Democratic Party"
"1058","Wayne Pope","Democratic Party"
"1059","Wednesday Alexandra Green","Democratic Party"
"1060","William Carl Egan","Republican Party"
"1061","William Ernest Bowhall Jr.","Nonpartisan"
"1062","William Feegbeh","Nonpartisan"
"1063","William Gaskill","Republican Party"
"1064","William Hope","Democratic Party"
"1065","William Joseph Hurst","Libertarian Party"
"1066","William Lifford","Nonpartisan"
"1067","William L. Wallace","Independent"
"1068","William Moseley","Independent"
"1069","William Scott Shumate","Nonpartisan"
"1070","Willie Dishaun Perkins","American Independent Party"
"1071","Willie Felix Carter","Democratic Party"
"1072","Willita D. Bush","Independent"
"1073","Yehanna Joan Malone","Republican Party"
"1074","Zachary Burd","Republican Party"
"1075","Zoltan Gyurko Istvan","Republican Party"
