	Name	First Name	District	ballotpedia.org	Party	Election	Incumbent	Sex
285	Open	NA	DE-AL	https://ballotpedia.org/_Open	Rep	House	no	NA
286	Ehr	Phil	FL-01	https://ballotpedia.org/Phil_Ehr	Dem	House	no	NA
287	Howard	Cheryl	FL-01	NA	Dem	House	no	NA
288	Mills	John	FL-01	NA	Rep	House	no	NA
289	Chase Anderson Romagnano	Chase	FL-01	NA	Rep	House	no	NA
290	Rosas	Emily	FL-01	NA	Rep	House	no	NA
291	Jefferson Anderson	Willie	FL-02	NA	Dem	House	no	NA
292	Open	NA	FL-02	https://ballotpedia.org/_Open	Rep	House	no	NA
293	Christensen	Adam	FL-03	NA	Dem	House	no	NA
294	Dodds	Philip	FL-03	https://ballotpedia.org/Philip_Dodds	Dem	House	no	NA
295	Rowe	Richard Allen	FL-03	NA	Dem	House	no	NA
296	Wells	Tom	FL-03	NA	Dem	House	no	NA
297	Cammack	Kat	FL-03	NA	Rep	House	no	NA
298	Chamberlin	Ryan	FL-03	https://ballotpedia.org/Ryan_Chamberlin	Rep	House	no	NA
299	Chase	Todd	FL-03	NA	Rep	House	no	NA
300	Engelbrecht	Bill	FL-03	NA	Rep	House	no	NA
301	Guinn	Kent	FL-03	NA	Rep	House	no	NA
302	Dallas Millado	Joe	FL-03	https://ballotpedia.org/Joe_Dallas_Millado	Rep	House	no	NA
303	Pope Wells	Amy	FL-03	NA	Rep	House	no	NA
304	Rollins	Gavin	FL-03	https://ballotpedia.org/Gavin_Rollins	Rep	House	no	NA
305	Sapp	Judson	FL-03	https://ballotpedia.org/Judson_Sapp	Rep	House	no	NA
306	St. George	James	FL-03	NA	Rep	House	no	NA
307	Rutherford	John	FL-04	https://ballotpedia.org/John_Rutherford_(Florida)	Rep	House	yes	NA
308	Aguilar	Erick	FL-04	https://ballotpedia.org/Erick_Aguilar	Rep	House	no	NA
309	Gleichauf	Robbi	FL-04	https://ballotpedia.org/Robbi_Gleichauf	Rep	House	no	NA
310	White	John	FL-04	NA	Rep	House	no	NA
311	Deegan	Donna	FL-04	https://ballotpedia.org/Donna_Deegan	Dem	House	no	NA
312	Eagle	Christopher	FL-04	https://ballotpedia.org/Christopher_Eagle	Ind	House	no	NA
313	Abenchuchan	Isaiah	FL-05	NA	Dem	House	no	NA
314	Chester	Albert	FL-05	NA	Dem	House	no	NA
315	Holloway	LaShonda	FL-05	NA	Dem	House	no	NA
316	Lusk	Matthew	FL-05	NA	Rep	House	no	NA
317	Waltz	Michael	FL-06	https://ballotpedia.org/Michael_Waltz	Rep	House	yes	NA
318	Curtis	Clinton	FL-06	NA	Dem	House	no	NA
319	Thripp	Richard	FL-06	https://ballotpedia.org/Richard_Thripp	Dem	House	no	NA
320	Murphy	Stephanie	FL-07	https://ballotpedia.org/Stephanie_Murphy	Dem	House	yes	NA
321	Delia	Thomas	FL-07	NA	Rep	House	no	NA
322	Diangelus	Jean Rochelle	FL-07	NA	Rep	House	no	NA
323	Goble	Richard	FL-07	https://ballotpedia.org/Richard_Goble	Rep	House	no	NA
324	Jackson	Sean	FL-07	NA	Rep	House	no	NA
325	Mejias	Eduardo	FL-07	NA	Rep	House	no	NA
326	Thibodeau	Mike	FL-07	NA	Rep	House	no	NA
327	Valentin	Leo	FL-07	NA	Rep	House	no	NA
328	Zhao	Yukong	FL-07	https://ballotpedia.org/Yukong_Zhao	Rep	House	no	NA
329	Ammi	Hicham	FL-08	https://ballotpedia.org/Hicham_Ammi	Dem	House	no	NA
330	Fox	Robert	FL-08	NA	Dem	House	no	NA
331	Grayson	Dena	FL-08	NA	Dem	House	no	NA
332	Kennedy	Jim	FL-08	NA	Dem	House	no	NA
333	Patti	Tiffany Jean	FL-08	NA	Dem	House	no	NA
334	Open	NA	FL-08	https://ballotpedia.org/_Open	Rep	House	no	NA
335	Soto	Darren	FL-09	https://ballotpedia.org/Darren_Soto	Dem	House	yes	NA
336	Grayson	Alan	FL-09	https://ballotpedia.org/Alan_Grayson	Dem	House	no	NA
337	Castillo	Jose	FL-09	https://ballotpedia.org/Jose_Castillo_(Florida)	Rep	House	no	NA
338	Olson	Bill	FL-09	NA	Rep	House	no	NA
339	Ortiz	Sergio	FL-09	https://ballotpedia.org/Sergio_Ortiz	Rep	House	no	NA
340	Hernandez Reyes	Edgar	FL-09	NA	Unaff	House	no	NA
341	Open	NA	FL-10	https://ballotpedia.org/_Open	Dem	House	no	NA
342	Francois	Vennia	FL-10	NA	Rep	House	no	NA
343	Montague	Willie	FL-10	NA	Rep	House	no	NA
344	Walls-Windhauser	Angela Marie	FL-10	NA	Rep	House	no	NA
345	Lawson	Kristofer	FL-10	https://ballotpedia.org/Kristofer_Lawson	Ind	House	no	NA
346	Cottrell	Dana	FL-11	NA	Dem	House	no	NA
347	Rabinowitz	Jeffrey	FL-11	https://ballotpedia.org/Jeffrey_Rabinowitz	Dem	House	no	NA
348	Licciardello	Aaron Joseph	FL-11	NA	Rep	House	no	NA
349	Thompson	Steven	FL-11	NA	Rep	House	no	NA
350	Bilirakis	Gus M.	FL-12	https://ballotpedia.org/Gus_Bilirakis	Rep	House	yes	NA
351	Smith	Zachary	FL-12	NA	Rep	House	no	NA
352	Walker	Kimberly	FL-12	https://ballotpedia.org/Kimberly_Walker	Dem	House	no	NA
353	Knezevich	Michael Steven	FL-12	NA	None	House	no	NA
354	Crist	Charlie	FL-13	https://ballotpedia.org/Charlie_Crist	Dem	House	yes	NA
355	Becker	Matt	FL-13	NA	Rep	House	no	NA
356	Buck	George	FL-13	NA	Rep	House	no	NA
357	Griffin	Sheila	FL-13	https://ballotpedia.org/Sheila_Scott_Griffin	Rep	House	no	NA
358	Luna	Anna Paulina	FL-13	https://ballotpedia.org/Anna_Paulina_Luna	Rep	House	no	NA
359	Makki	Amanda	FL-13	NA	Rep	House	no	NA
360	Barry Newby	Sharon	FL-13	https://ballotpedia.org/Sharon_Barry_Newby	Rep	House	no	NA
361	Frontela	Carlos	FL-14	NA	Dem	House	no	NA
362	Brown	Jeremy	FL-14	https://ballotpedia.org/Jeremy_Brown_(Florida)	Rep	House	no	NA
363	Cahse	Edgar	FL-14	NA	Rep	House	no	NA
364	Toulme	Alix Christopher	FL-14	NA	Rep	House	no	NA
365	Wiggins	Lloyd	FL-14	NA	Rep	House	no	NA
366	Wunderlich	Robert	FL-14	https://ballotpedia.org/Robert_Wunderlich	Ind	House	no	NA
367	Spano	Ross	FL-15	https://ballotpedia.org/Ross_Spano	Rep	House	yes	Male
368	Franklin	Scott	FL-15	NA	Rep	House	no	NA
369	Britvec	Kel	FL-15	NA	Dem	House	no	NA
370	Cohn	Alan	FL-15	https://ballotpedia.org/Alan_Cohn	Dem	House	no	NA
371	Hattersley	Adam	FL-15	https://ballotpedia.org/Adam_Hattersley	Dem	House	no	NA
372	Lax Miller	Loretta	FL-15	https://ballotpedia.org/Loretta_Lax_Miller	Dem	House	no	NA
373	Philippe	Jesse	FL-15	NA	Dem	House	no	NA
374	Levertt	Kevin Michael	FL-15	NA	Ind	House	no	NA
375	Buchanan	Vern	FL-16	https://ballotpedia.org/Vern_Buchanan	Rep	House	yes	Male
376	Wayne Milligan	Jerry III	FL-16	NA	Rep	House	no	NA
377	Good	Margaret	FL-16	https://ballotpedia.org/Margaret_Good	Dem	House	no	NA
378	Steube	Greg	FL-17	https://ballotpedia.org/Greg_Steube	Rep	House	yes	NA
379	Labruno	Gina Christine	FL-17	NA	Rep	House	no	NA
380	Ellison	Allen	FL-17	https://ballotpedia.org/Allen_Ellison	Dem	House	no	NA
381	Murray	Theodore	FL-17	NA	Dem	House	no	NA
382	Mast	Brian	FL-18	https://ballotpedia.org/Brian_Mast	Rep	House	yes	NA
383	Vessio	Nicholas	FL-18	NA	Rep	House	no	NA
384	Vazquez	Oz	FL-18	NA	Dem	House	no	NA
385	Vaughn	Karen	FL-18	NA	None	House	no	NA
386	Banyai	Cindy	FL-19	NA	Dem	House	no	NA
387	Holden	David	FL-19	NA	Dem	House	no	NA
388	Aquino	Darren Dione	FL-19	NA	Rep	House	no	NA
389	Donalds	Byron	FL-19	https://ballotpedia.org/Byron_Donalds	Rep	House	no	NA
390	Eagle	Dane	FL-19	https://ballotpedia.org/Dane_Eagle	Rep	House	no	NA
391	Figlesthaler	William	FL-19	https://ballotpedia.org/William_Figlesthaler	Rep	House	no	NA
392	Fitzenhagen	Heather	FL-19	https://ballotpedia.org/Heather_Fitzenhagen	Rep	House	no	NA
393	Henderson	Randy	FL-19	NA	Rep	House	no	NA
394	McLaughlin	Christy	FL-19	https://ballotpedia.org/Christy_McLaughlin	Rep	House	no	NA
395	O'Connell	Ford	FL-19	https://ballotpedia.org/Ford_O%E2%80%99Connell	Rep	House	no	NA
396	Severson	Dan	FL-19	NA	Rep	House	no	NA
397	Dumornay	Antonio	FL-19	NA	Ind	House	no	NA
398	Hastings	Alcee	FL-20	https://ballotpedia.org/Alcee_Hastings	Dem	House	yes	NA
399	Cherfilus-McCormick	Sheila	FL-20	NA	Dem	House	no	NA
400	Mody	Roshan	FL-20	NA	Dem	House	no	NA
401	Morel	Emmanuel	FL-20	NA	Dem	House	no	NA
402	Jones	Lateresa	FL-20	NA	Rep	House	no	NA
403	Miller	Ervan Katari	FL-20	NA	Rep	House	no	NA
404	Musselwhite	Greg	FL-20	https://ballotpedia.org/Greg_Musselwhite	Rep	House	no	NA
405	Frankel	Lois	FL-21	https://ballotpedia.org/Lois_Frankel	Dem	House	yes	NA
406	Weiss	Guido	FL-21	https://ballotpedia.org/Guido_Weiss	Dem	House	no	NA
407	Acosta	Christian	FL-21	NA	Rep	House	no	NA
408	Blass	Piotr	FL-21	https://ballotpedia.org/Piotr_Blass	Rep	House	no	NA
409	Bluemling	Michael Jr.	FL-21	NA	Rep	House	no	NA
410	Felton	Liz	FL-21	https://ballotpedia.org/Liz_Felton	Rep	House	no	NA
411	Garcia da Rosa	Victor	FL-21	NA	Rep	House	no	NA
412	Loomer	Laura	FL-21	NA	Rep	House	no	NA
413	Scanlan	Aaron	FL-21	NA	Rep	House	no	NA
414	Sherrill	Reba	FL-21	NA	Rep	House	no	NA
415	Vilardi	Michael	FL-21	NA	Rep	House	no	NA
416	Canton	Stephen	FL-21	NA	Ind	House	no	NA
417	Ahmad Mohammad	Imtiaz	FL-22	NA	Dem	House	no	NA
418	Boyle	Kevin	FL-22	NA	Rep	House	no	NA
419	Flynn	Frances	FL-22	NA	Rep	House	no	NA
420	Melton	Jessi	FL-22	NA	Rep	House	no	NA
421	Olson	Jeffrey	FL-22	NA	Rep	House	no	NA
422	Pruden	James	FL-22	NA	Rep	House	no	NA
423	Scott	Christine	FL-22	https://ballotpedia.org/Christine_Scott	Rep	House	no	NA
424	Smith	Joe	FL-22	NA	Rep	House	no	NA
425	Swaffar	Darlene	FL-22	NA	Rep	House	no	NA
426	Walters	Eddison	FL-22	NA	Rep	House	no	NA
427	Marmorato	Lisa	FL-22	NA	None	House	no	NA
428	Perelman	Jen	FL-23	https://ballotpedia.org/Jen_Perelman	Dem	House	no	NA
429	Fugate	D.B.	FL-23	https://ballotpedia.org/D.B._Fugate	Rep	House	no	NA
430	Katz	Ilya	FL-23	https://ballotpedia.org/Ilya_Katz	Rep	House	no	NA
431	Kroske	Michael	FL-23	https://ballotpedia.org/Michael_Kroske	Rep	House	no	NA
432	Mendelson	Richard	FL-23	NA	Rep	House	no	NA
433	Nizahon	Shlomo	FL-23	NA	Rep	House	no	NA
434	Spalding	Carla	FL-23	NA	Rep	House	no	NA
435	Lehtola	Sakinah	FL-24	NA	Dem	House	no	NA
436	Olivo	Christine Alexandria	FL-24	NA	Dem	House	no	NA
437	Chong	Kirk	FL-24	NA	Rep	House	no	NA
438	Spicer	Lavern	FL-24	NA	Rep	House	no	NA
439	Diaz-Balart	Mario	FL-25	https://ballotpedia.org/Mario_Diaz-Balart	Rep	House	yes	NA
440	Hughes	Tom	FL-25	NA	Rep	House	no	NA
441	Parsky	Stewart	FL-25	NA	Rep	House	no	NA
442	Escobar	Yadira	FL-25	NA	Dem	House	no	NA
443	Mucarsel-Powell	Debbie	FL-26	https://ballotpedia.org/Debbie_Mucarsel-Powell	Dem	House	yes	Female
444	Blanco	Omar	FL-26	NA	Rep	House	no	NA
445	Gimenez	Carlos	FL-26	https://ballotpedia.org/Carlos_Gimenez	Rep	House	no	NA
446	Vilarino	Irina	FL-26	NA	Rep	House	no	NA
447	Shalala	Donna	FL-27	https://ballotpedia.org/Donna_Shalala	Dem	House	yes	Female
448	Ferrer	Gabriel	FL-27	NA	Rep	House	no	NA
449	Fiol	Juan	FL-27	NA	Rep	House	no	NA
450	Molina	Raymond	FL-27	https://ballotpedia.org/Raymond_Molina	Rep	House	no	NA
451	Montiel	Christian	FL-27	NA	Rep	House	no	NA
452	Polo	Frank Sr.	FL-27	NA	Rep	House	no	NA
453	Salazar	Maria Elvira	FL-27	https://ballotpedia.org/Maria_Elvira_Salazar	Rep	House	no	NA
454	Tarrio	Enrique	FL-27	https://ballotpedia.org/Enrique_Tarrio	Rep	House	no	NA
455	Carter	Earl	GA-01	https://ballotpedia.org/Earl_Carter	Rep	House	yes	NA
456	Merritt	Daniel	GA-01	https://ballotpedia.org/Daniel_Merritt	Rep	House	no	NA
457	Yasger	Ken	GA-01	NA	Rep	House	no	NA
458	Griggs	Joyce Marie	GA-01	NA	Dem	House	no	NA
459	Ring	Lisa	GA-01	https://ballotpedia.org/Lisa_Ring	Dem	House	no	NA
460	Seidman	Barbara	GA-01	NA	Dem	House	no	NA
461	Bishop	Sanford Jr.	GA-02	https://ballotpedia.org/Sanford_Bishop_Jr.	Dem	House	yes	NA
462	Childs	Vivian	GA-02	https://ballotpedia.org/Vivian_Childs	Rep	House	no	NA
463	Cole	Donald	GA-02	NA	Rep	House	no	NA
464	Ferguson	Drew	GA-03	https://ballotpedia.org/Drew_Ferguson	Rep	House	yes	NA
465	Almonord	Val	GA-03	NA	Dem	House	no	NA
466	Johnson	Hank	GA-04	https://ballotpedia.org/Hank_Johnson	Dem	House	yes	NA
467	Haston	William	GA-04	NA	Dem	House	no	NA
468	Nietmann	Elaine	GA-04	https://ballotpedia.org/Elaine_Nietmann	Dem	House	no	NA
469	Cruz	Johsie	GA-04	https://ballotpedia.org/Johsie_Cruz	Rep	House	no	NA
470	Lewis	John	GA-05	https://ballotpedia.org/John_Lewis_(Georgia)	Dem	House	yes	NA
471	Martin	Barrington II	GA-05	https://ballotpedia.org/Barrington_Martin_II	Dem	House	no	NA
472	Stanton-King	Angela	GA-05	https://ballotpedia.org/Angela_Stanton-King	Rep	House	no	NA
473	McBath	Lucy	GA-06	https://ballotpedia.org/Lucy_McBath	Dem	House	yes	Female
474	Barthelemy	Mykel Lynn	GA-06	https://ballotpedia.org/Mykel_Lynn_Barthelemy	Rep	House	no	NA
475	Handel	Karen	GA-06	https://ballotpedia.org/Karen_Handel	Rep	House	no	NA
476	Harbin	Blake	GA-06	https://ballotpedia.org/Blake_Harbin	Rep	House	no	NA
477	Profit	Joe	GA-06	NA	Rep	House	no	NA
478	Smith	Paulette	GA-06	NA	Rep	House	no	NA
479	Harrison	Jayla	GA-06	NA	Commandments Party	House	no	NA
480	Bourdeaux	Carolyn	GA-07	NA	Dem	House	no	NA
481	Eaves	John	GA-07	https://ballotpedia.org/John_Eaves	Dem	House	no	NA
482	Islam	Nabilah	GA-07	https://ballotpedia.org/Nabilah_Islam	Dem	House	no	NA
483	Karinshak	Zahra	GA-07	https://ballotpedia.org/Zahra_Karinshak	Dem	House	no	NA
484	Lopez Romero	Brenda	GA-07	https://ballotpedia.org/Brenda_Lopez_Romero	Dem	House	no	NA
485	Malik	Rashid	GA-07	NA	Dem	House	no	NA
486	Babbage	Lisa	GA-07	https://ballotpedia.org/Lisa_Babbage	Rep	House	no	NA
487	Gonsalves	Mark	GA-07	NA	Rep	House	no	NA
488	Homrich	Lynne	GA-07	NA	Rep	House	no	NA
489	Kennemore	Zachary	GA-07	NA	Rep	House	no	NA
490	McCormick	Rich	GA-07	NA	Rep	House	no	NA
491	Unterman	Renee	GA-07	https://ballotpedia.org/Renee_Unterman	Rep	House	no	NA
492	Yu	Eugene	GA-07	NA	Rep	House	no	NA
493	Scott	Austin	GA-08	https://ballotpedia.org/Austin_Scott	Rep	House	yes	NA
494	Vance Dean	Robert	GA-08	NA	Rep	House	no	NA
495	Ellyson	Daniel	GA-08	https://ballotpedia.org/Daniel_Ellyson	Rep	House	no	NA
496	Holliday	Lindsay	GA-08	https://ballotpedia.org/Lindsay_Holliday	Dem	House	no	NA
497	Cooper	James III	GA-08	NA	Green	House	no	NA
498	Pandy	Devin	GA-09	https://ballotpedia.org/Devin_Pandy	Dem	House	no	NA
499	Siskin	Brooke	GA-09	NA	Dem	House	no	NA
500	Wilson	Dan	GA-09	NA	Dem	House	no	NA
501	Boggus	Michael	GA-09	https://ballotpedia.org/Michael_Boggus	Rep	House	no	NA
502	Broun	Paul C.	GA-09	https://ballotpedia.org/Paul_Broun	Rep	House	no	NA
503	Clyde	Andrew	GA-09	NA	Rep	House	no	NA
504	Gurtler	Matt	GA-09	https://ballotpedia.org/Matt_Gurtler	Rep	House	no	NA
505	Strickland	Maria	GA-09	https://ballotpedia.org/Maria_Strickland	Rep	House	no	NA
506	Tanner	Kevin	GA-09	https://ballotpedia.org/Kevin_Tanner	Rep	House	no	NA
507	Underwood	Ethan	GA-09	NA	Rep	House	no	NA
508	Weeks	Kellie	GA-09	NA	Rep	House	no	NA
509	Wilkinson	John	GA-09	https://ballotpedia.org/John_Wilkinson	Rep	House	no	NA
510	Hice	Jody	GA-10	https://ballotpedia.org/Jody_Hice	Rep	House	yes	NA
511	Ferguson	Andrew	GA-10	NA	Dem	House	no	NA
512	Johnson-Green	Tabitha	GA-10	NA	Dem	House	no	NA
513	Loudermilk	Barry	GA-11	https://ballotpedia.org/Barry_Loudermilk	Rep	House	yes	NA
514	Barrett	Dana	GA-11	https://ballotpedia.org/Dana_Barrett	Dem	House	no	NA
515	Sellers	Roderick	GA-11	NA	Dem	House	no	NA
516	Allen	Rick	GA-12	https://ballotpedia.org/Rick_Allen	Rep	House	yes	NA
517	Johnson	Liz	GA-12	NA	Dem	House	no	NA
518	Steiner	Dan	GA-12	NA	Dem	House	no	NA
519	Scott	David	GA-13	https://ballotpedia.org/David_Scott_(Georgia)	Dem	House	yes	NA
520	Owens	Michael	GA-13	https://ballotpedia.org/Michael_Owens_(Georgia)	Dem	House	no	NA
521	Peters	Jannquell	GA-13	https://ballotpedia.org/Jannquell_Peters	Dem	House	no	NA
522	Waites	Keisha Sean	GA-13	NA	Dem	House	no	NA
523	Gonzales	Caesar	GA-13	https://ballotpedia.org/Caesar_Gonzales	Rep	House	no	NA
524	Hites	Becky E.	GA-13	https://ballotpedia.org/Becky_Hites	Rep	House	no	NA
525	Van Ausdal	Kevin	GA-14	NA	Dem	House	no	NA
526	Barge	John	GA-14	https://ballotpedia.org/John_Barge	Rep	House	no	NA
527	Bullock	Ben	GA-14	NA	Rep	House	no	NA
528	Cooke	Kevin	GA-14	https://ballotpedia.org/Kevin_Cooke	Rep	House	no	NA
529	Cowan	John	GA-14	NA	Rep	House	no	NA
530	Fuller	Clayton	GA-14	NA	Rep	House	no	NA
531	Taylor Greene	Marjorie	GA-14	NA	Rep	House	no	NA
532	Gunther	Andy	GA-14	https://ballotpedia.org/Andy_Gunther	Rep	House	no	NA
533	Hembree	Bill	GA-14	https://ballotpedia.org/Bill_Hembree	Rep	House	no	NA
534	Laughridge	Matt	GA-14	https://ballotpedia.org/Matt_Laughridge	Rep	House	no	NA
535	Case	Ed	HI-01	https://ballotpedia.org/Ed_Case	Dem	House	yes	NA
536	Open	NA	HI-01	https://ballotpedia.org/_Open	Rep	House	no	NA
537	Cornejo	David	HI-02	NA	Dem	House	no	NA
538	Evans	Brian	HI-02	https://ballotpedia.org/Brian_Evans_(Hawaii)	Dem	House	no	NA
539	Kahele	Kaiali'i	HI-02	https://ballotpedia.org/Kaiali'i_Kahele	Dem	House	no	NA
540	Meza	Ryan	HI-02	NA	Dem	House	no	NA
541	Akana	Joseph	HI-02	NA	Rep	House	no	NA
542	Hoomanawanui	Jonathan K.	HI-02	NA	Rep	House	no	NA
543	Finkenauer	Abby	IA-01	https://ballotpedia.org/Abby_Finkenauer	Dem	House	yes	Female
544	Hansen	Thomas	IA-01	https://ballotpedia.org/Thomas_Hansen_(Iowa)	Rep	House	no	NA
545	Hinson	Ashley	IA-01	https://ballotpedia.org/Ashley_Hinson	Rep	House	no	NA
546	Hart	Rita	IA-02	https://ballotpedia.org/Rita_Hart	Dem	House	no	NA
547	Borchardt	Tim	IA-02	NA	Rep	House	no	NA
548	Everly	Steven	IA-02	NA	Rep	House	no	NA
549	Miller-Meeks	Mariannette	IA-02	NA	Rep	House	no	NA
550	Phillips	Ricky Lee	IA-02	NA	Rep	House	no	NA
551	Schilling	Robert T.	IA-02	https://ballotpedia.org/Bobby_Schilling	Rep	House	no	NA
552	Axne	Cindy	IA-03	https://ballotpedia.org/Cindy_Axne	Dem	House	yes	Female
553	Schafer	Bill	IA-03	NA	Rep	House	NA	NA
554	Young	David	IA-03	https://ballotpedia.org/David_Young_(Iowa)	Rep	House	NA	NA
555	Holder	Bryan	IA-03	NA	Lib	House	NA	NA
556	King	Steve	IA-04	https://ballotpedia.org/Steve_King_(Iowa)	Rep	House	yes	Male
557	Feenstra	Randy	IA-04	https://ballotpedia.org/Randy_Feenstra	Rep	House	NA	NA
558	Reeder	Steve	IA-04	https://ballotpedia.org/Steve_Reeder	Rep	House	NA	NA
559	Richards	Bret	IA-04	https://ballotpedia.org/Bret_Richards	Rep	House	NA	NA
560	Taylor	Jeremy	IA-04	https://ballotpedia.org/Jeremy_Taylor_(Iowa)	Rep	House	NA	NA
561	Scholten	J.D.	IA-04	NA	Dem	House	NA	NA
562	Fulcher	Russ	ID-01	https://ballotpedia.org/Russ_Fulcher	Rep	House	yes	NA
563	Jones	Nicholas	ID-01	https://ballotpedia.org/Nicholas_Jones	Rep	House	no	NA
564	Nikolova	Staniela	ID-01	NA	Dem	House	no	NA
565	Soto	Rudy	ID-01	NA	Dem	House	no	NA
566	Evans	Joe	ID-01	https://ballotpedia.org/Joe_Evans_(Idaho_congressional_candidate)	Lib	House	no	NA
567	Simpson	Michael K.	ID-02	https://ballotpedia.org/Michael_Simpson_(Idaho)	Rep	House	yes	NA
568	Rhoades	Kevin	ID-02	NA	Rep	House	no	NA
569	Swisher	Aaron	ID-02	https://ballotpedia.org/Aaron_Swisher	Dem	House	no	NA
570	Pro-Life (formerly known as: Marvin Thomas Richardson)	NA	ID-02	https://ballotpedia.org/Pro-Life_(Marvin_Thomas_Richardson)	Constitution Party	House	no	NA
571	Idaho Law	NA	ID-02	https://ballotpedia.org/Idaho_Law	Lib	House	no	NA
572	Rush	Bobby	IL-01	https://ballotpedia.org/Bobby_Rush	Dem	House	yes	NA
573	White	Philanise	IL-01	https://ballotpedia.org/Philanise_White	Rep	House	no	NA
574	Pellegrini	Ruth	IL-01	https://ballotpedia.org/Ruth_Pellegrini	Ind	House	no	NA
575	Kelly	Robin	IL-02	https://ballotpedia.org/Robin_Kelly	Dem	House	yes	NA
576	Raborn	Theresa	IL-02	https://ballotpedia.org/Theresa_Raborn	Rep	House	no	NA
577	Newman	Marie	IL-03	https://ballotpedia.org/Marie_Newman	Dem	House	no	NA
578	Fricilone	Mike	IL-03	https://ballotpedia.org/Mike_Fricilone	Rep	House	no	NA
579	Garcia	Jesus	IL-04	https://ballotpedia.org/Jesus_Garcia	Dem	House	yes	NA
580	Lasky	Christopher	IL-04	https://ballotpedia.org/Christopher_Lasky	Rep	House	no	NA
581	Sosa	Ruben	IL-04	NA	Ind	House	no	NA
582	Quigley	Mike	IL-05	https://ballotpedia.org/Mike_Quigley	Dem	House	yes	NA
583	Hanson	Tommy	IL-05	https://ballotpedia.org/Tommy_Hanson	Rep	House	no	NA
584	Casten	Sean	IL-06	https://ballotpedia.org/Sean_Casten	Dem	House	yes	Male
585	Ives	Jeanne M.	IL-06	https://ballotpedia.org/Jeanne_M._Ives	Rep	House	no	NA
586	Davis	Danny K.	IL-07	https://ballotpedia.org/Danny_K._Davis	Dem	House	yes	NA
587	Cameron	Craig	IL-07	https://ballotpedia.org/Craig_Cameron	Rep	House	no	NA
588	Jennings	Tracy	IL-07	https://ballotpedia.org/Tracy_Jennings	Ind	House	no	NA
589	Krishnamoorthi	Raja	IL-08	https://ballotpedia.org/Raja_Krishnamoorthi	Dem	House	yes	NA
590	Open	Primary cancelled	IL-08	NA	Rep	House	no	NA
591	Schakowsky	Jan	IL-09	https://ballotpedia.org/Jan_Schakowsky	Dem	House	yes	NA
592	Sangari	Sargis	IL-09	https://ballotpedia.org/Sargis_Sangari	Rep	House	no	NA
593	Schneider	Brad	IL-10	https://ballotpedia.org/Brad_Schneider	Dem	House	yes	NA
594	Ramirez Mukherjee	Valerie	IL-10	https://ballotpedia.org/Valerie_Ramirez_Mukherjee	Rep	House	no	NA
595	Heinz	Bradley	IL-10	https://ballotpedia.org/Bradley_Heinz	Ind	House	no	NA
596	Foster	Bill	IL-11	https://ballotpedia.org/Bill_Foster_(Illinois)	Dem	House	yes	NA
597	Laib	Rick	IL-11	https://ballotpedia.org/Rick_Laib	Rep	House	no	NA
598	Bost	Mike	IL-12	https://ballotpedia.org/Mike_Bost	Rep	House	yes	NA
599	Funk	Joel	IL-12	https://ballotpedia.org/Joel_Funk	Dem	House	no	NA
600	Lenzi	Ray	IL-12	https://ballotpedia.org/Ray_Lenzi	Dem	House	no	NA
601	Boeving	Brian	IL-12	https://ballotpedia.org/Brian_Boeving	Ind	House	no	NA
602	Davis	Rodney	IL-13	https://ballotpedia.org/Rodney_Davis_(Illinois)	Rep	House	yes	Male
603	Londrigan	Betsy	IL-13	https://ballotpedia.org/Betsy_Londrigan	Dem	House	no	NA
604	Underwood	Lauren	IL-14	https://ballotpedia.org/Lauren_Underwood	Dem	House	yes	Female
605	Oberweis	Jim	IL-14	https://ballotpedia.org/Jim_Oberweis	Rep	House	no	NA
606	Weaver	Erika	IL-15	https://ballotpedia.org/Erika_Weaver	Dem	House	no	NA
607	Miller	Mary	IL-15	https://ballotpedia.org/Mary_Miller_(Illinois)	Rep	House	no	NA
608	Kinzinger	Adam	IL-16	https://ballotpedia.org/Adam_Kinzinger	Rep	House	yes	NA
609	Brzozowski	Dani	IL-16	https://ballotpedia.org/Dani_Brzozowski	Dem	House	no	NA
610	Bustos	Cheri	IL-17	https://ballotpedia.org/Cheri_Bustos	Dem	House	yes	Female
611	King	Esther Joy	IL-17	https://ballotpedia.org/Esther_Joy_King	Rep	House	no	NA
612	LaHood	Darin	IL-18	https://ballotpedia.org/Darin_LaHood	Rep	House	yes	NA
613	Open	Primary cancelled	IL-18	NA	Dem	House	no	NA
614	Borom	Melissa	IN-01	https://ballotpedia.org/Melissa_Borom	Dem	House	no	NA
615	Castro	Carrie	IN-01	https://ballotpedia.org/Carrie_Castro	Dem	House	no	NA
616	Costello	Scott	IN-01	https://ballotpedia.org/Scott_Costello	Dem	House	no	NA
617	Daggett	Antonio Sr.	IN-01	https://ballotpedia.org/Antonio_Daggett_Sr.	Dem	House	no	NA
618	Farrar	Ryan	IN-01	https://ballotpedia.org/Ryan_Farrar	Dem	House	no	NA
619	Haake	Sabrina	IN-01	https://ballotpedia.org/Sabrina_Haake	Dem	House	no	NA
620	Hall	John	IN-01	https://ballotpedia.org/John_Hall_(Indiana)	Dem	House	no	NA
621	Harper	Jim	IN-01	https://ballotpedia.org/Jim_Harper	Dem	House	no	NA
622	McDermott	Thomas Jr.	IN-01	NA	Dem	House	no	NA
